,date,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
2021-02-24 09:51:00,2021-02-24,09:51 AM,2041.84,2034.85,2038.071,508,1035340.05,16,2039.56,2032.66,2036.298,799,1627002.0,6,2041.625,2038.43,2039.56,2038.26,0.0006701998226548207,0.0013153863818416464
2021-02-24 09:52:00,2021-02-24,09:52 AM,2039.65,2036.95,2039.383,105,214135.23,3,2039.73,2037.385,2038.167,300,611450.0,2,2039.41,2039.65,2037.385,2039.73,0.001314377234613211,0.002234435782836774
2021-02-24 09:53:00,2021-02-24,09:53 AM,2041.89,2040.62,2041.083,125,255135.39,4,2040.97,2038.716,2039.331,2400,4894394.25,10,2040.62,2041.56,2040.97,2039.97,0.0021490583324250924,0.002806813258897965
2021-02-24 09:54:00,2021-02-24,09:54 AM,2038.45,2035.86,2037.592,406,827262.22,10,2038.58,2034.88,2036.545,1000,2036545.0,10,2035.86,2035.9,2035.58,2037.92,0.00043501614862439386,0.0014368444888752858
2021-02-24 09:55:00,2021-02-24,09:55 AM,2042.57,2036.0,2039.689,795,1621552.99,19,2042.57,2037.24,2039.967,900,1835970.0,9,2036.0,2041.23,2037.99,2041.23,0.0014646198322193654,0.003119555591178921
2021-02-24 09:56:00,2021-02-24,09:56 AM,2045.62,2042.16,2043.781,918,1876191.225,17,2045.93,2042.16,2043.981,2200,4496758.0,21,2043.94,2042.16,2043.05,2042.16,0.003473746333540553,0.005093372763781658
2021-02-24 09:57:00,2021-02-24,09:57 AM,2042.78,2039.55,2040.901,107,218376.445,4,2041.3,2040.0,2040.639,675,1377431.0,5,2041.915,2040.94,2040.94,2040.0,0.002059698356071109,0.003450000319626523
2021-02-24 09:58:00,2021-02-24,09:58 AM,2038.06,2037.38,2038.043,104,211956.495,5,2040.55,2035.107,2037.494,800,1629995.13,6,2038.06,2037.405,2040.55,2035.107,0.0006564521339849685,0.001903499321162215
2021-02-24 09:59:00,2021-02-24,09:59 AM,2039.92,2036.7,2039.202,130,265096.27,8,2040.51,2035.44,2039.928,1200,2447913.5,6,2037.8,2039.88,2035.44,2040.5,0.0012255082471402817,0.003100377995331516
2021-02-24 10:00:00,2021-02-24,10 AM,2039.98,2037.3,2037.999,121,246597.93,4,2041.27,2035.38,2038.455,410,835766.7,4,2039.98,2038.18,2035.38,2041.27,0.0006348486232181376,0.0023760549521715086
2021-02-24 10:01:00,2021-02-24,10:01 AM,2041.41,2034.8,2037.858,275,560410.88,14,2041.375,2034.94,2036.322,600,1221793.5,6,2039.99,2036.4,2041.375,2034.94,0.0005656191909878223,0.0013271879792861518
2021-02-24 10:02:00,2021-02-24,10:02 AM,2036.635,2035.36,2035.746,4,8142.985,4,,,,0,0.0,0,2036.635,2035.63,,,-0.00047134932582307363,0.0009869085863014244
2021-02-24 10:03:00,2021-02-24,10:03 AM,2038.055,2035.0,2037.547,118,240430.535,5,2037.82,2034.965,2036.037,820,1669550.5,8,2038.055,2035.0,2037.705,2035.92,0.00041292164897639716,0.0011870440096320642
2021-02-24 10:04:00,2021-02-24,10:04 AM,2037.58,2033.64,2035.306,16,32564.9,6,2037.115,2033.9,2035.321,400,814128.5,3,2036.16,2033.64,2036.37,2033.9,-0.0006873844334920522,0.000834963019202608
2021-02-24 10:05:00,2021-02-24,10:05 AM,2036.48,2031.42,2034.987,308,626776.04,8,2035.0,2034.17,2034.55,300,610365.0,3,2036.19,2031.42,2034.17,2034.48,-0.0008440098865520225,0.000455836701296114
2021-02-24 10:06:00,2021-02-24,10:06 AM,2038.07,2033.59,2036.669,533,1085544.47,9,2038.07,2032.54,2036.2,2300,4683259.48,23,2038.07,2034.95,2032.79,2036.22,-1.816658859933991e-05,0.0012671965256097113
2021-02-24 10:07:00,2021-02-24,10:07 AM,2038.37,2033.165,2035.202,54,109900.895,3,2037.39,2037.0,2037.173,300,611152.0,3,2033.165,2038.37,2037.39,2037.0,-0.0007384472771229159,0.0017456529553412576
2021-02-24 10:08:00,2021-02-24,10:08 AM,2037.21,2033.575,2035.46,257,523113.22,13,2036.82,2031.599,2034.279,710,1444337.923,7,2037.21,2034.8,2036.82,2034.31,-0.0006117721458079209,0.00032257699681796924
2021-02-24 10:09:00,2021-02-24,10:09 AM,2033.66,2033.19,2033.307,8,16266.46,2,2033.62,2031.0,2032.536,4040,8211444.0,18,2033.66,2033.19,2031.79,2033.62,-0.0016688712067425967,-0.000534514017593226
2021-02-24 10:10:00,2021-02-24,10:10 AM,2034.65,2033.115,2033.924,926,1883413.965,12,2035.06,2033.115,2034.408,5596,11384548.26,26,2033.695,2033.115,2033.665,2033.115,-0.0013659310671250173,0.0003860105830824368
2021-02-24 10:11:00,2021-02-24,10:11 AM,2034.195,2032.01,2033.102,200,406620.5,2,2034.85,2031.253,2033.541,1000,2033541.1,9,2034.195,2032.01,2034.85,2032.01,-0.00176952392736105,-4.032212460230206e-05
2021-02-24 10:12:00,2021-02-24,10:12 AM,2034.19,2031.11,2031.748,333,676571.98,8,2033.075,2030.03,2030.955,782,1588206.72,7,2031.11,2033.075,2030.71,2033.075,-0.002434322872324163,-0.001311944249253731
