,date,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
2021-03-18 12:07:00,2021-03-18,12:07 PM,2065.25,2065.25,2065.25,3.0,6195.75,1.0,2065.0,2064.68,2064.8,400,825920.0,4,2065.25,2065.25,2065.0,2064.68,0.0010455175796729246,0.003557262497199225
2021-03-18 12:08:00,2021-03-18,12:08 PM,2065.54,2064.57,2064.765,120.0,247771.83,3.0,2065.935,2064.381,2065.009,1348,2783631.5974,8,2064.62,2065.54,2064.74,2065.52,0.0008104336547116517,0.0036588430221225817
2021-03-18 12:09:00,2021-03-18,12:09 PM,2068.02,2065.72,2066.298,144.0,297546.98,8.0,2067.98,2065.42,2067.11,611,1263003.905,5,2065.72,2067.555,2065.42,2067.97,0.0015534927412384839,0.004679994614774039
2021-03-18 12:10:00,2021-03-18,12:10 PM,2067.85,2067.85,2067.85,1.0,2067.85,1.0,,,,0,0.0,0,2067.85,2067.85,,,0.002305761301114425,0.005039657717373665
2021-03-18 12:11:00,2021-03-18,12:11 PM,2066.8,2066.8,2066.8,2.0,4133.6,2.0,2068.05,2068.05,2068.05,607,1255306.35,1,2066.8,2066.8,2068.05,2068.05,0.0017968167213016258,0.005136863961319672
2021-03-18 12:12:00,2021-03-18,12:12 PM,2067.58,2067.2,2067.312,102.0,210865.8,2.0,2067.63,2067.46,2067.57,300,620271.0,3,2067.2,2067.58,2067.46,2067.63,0.002044987792600746,0.004903568975849566
2021-03-18 12:13:00,2021-03-18,12:13 PM,2068.86,2068.08,2068.785,133.0,275148.43,3.0,2068.68,2068.48,2068.494,1377,2848316.96,6,2068.81,2068.08,2068.48,2068.48,0.002758964331709723,0.005352661822879491
2021-03-18 12:14:00,2021-03-18,12:14 PM,,,,0.0,0.0,0.0,2067.53,2067.53,2067.53,200,413506.0,1,,,2067.53,2067.53,,0.004884127727060409
2021-03-18 12:15:00,2021-03-18,12:15 PM,2069.335,2067.94,2068.045,101.0,208872.535,8.0,2068.0,2066.53,2067.61,900,1860849.0,9,2069.335,2067.94,2068.0,2067.99,0.00240027958022262,0.004923010224638723
2021-03-18 12:16:00,2021-03-18,12:16 PM,2068.42,2067.6,2068.376,109.0,225452.98,4.0,2068.695,2068.67,2068.689,400,827475.5,2,2068.04,2068.42,2068.695,2068.67,0.002560718300144665,0.005447437910726577
2021-03-18 12:17:00,2021-03-18,12:17 PM,,,,0.0,0.0,0.0,2069.49,2069.06,2069.275,400,827710.0,4,,,2069.49,2069.06,,0.005732252205488103
2021-03-18 12:18:00,2021-03-18,12:18 PM,,,,0.0,0.0,0.0,2069.22,2068.517,2068.83,700,1448180.73,6,,,2068.795,2068.517,,0.005515968312708455
2021-03-18 12:19:00,2021-03-18,12:19 PM,2068.04,2066.655,2067.694,27.0,55827.745,7.0,2068.55,2067.54,2068.045,200,413609.0,2,2068.04,2066.655,2068.55,2067.54,0.002230146677827957,0.005134433805220971
2021-03-18 12:20:00,2021-03-18,12:20 PM,2065.87,2064.8,2065.528,95.0,196225.13,3.0,2066.11,2064.37,2065.36,1000,2065360.0,8,2065.87,2064.8,2066.07,2065.165,0.001180266716042343,0.003829439980247645
2021-03-18 12:21:00,2021-03-18,12:21 PM,2065.305,2065.15,2065.227,2.0,4130.455,2.0,2066.05,2064.9,2065.483,1000,2065483.0,8,2065.305,2065.15,2065.16,2066.05,0.0010343692698293362,0.00388922182027438
2021-03-18 12:22:00,2021-03-18,12:22 PM,2066.84,2066.84,2066.84,3.0,6200.52,1.0,2066.84,2066.67,2066.771,500,1033385.5,5,2066.84,2066.84,2066.67,2066.84,0.0018162050862468627,0.004515230031285811
2021-03-18 12:23:00,2021-03-18,12:23 PM,2066.36,2064.8,2066.258,175.0,361595.085,6.0,2066.33,2064.45,2065.688,600,1239413.0,6,2066.36,2064.8,2066.33,2064.45,0.001534104376293247,0.003988858220318865
